base_state,outs,balls,strikes,event_type,ERV
001,2,2,0,Ball,-0.017391304347826087
001,2,2,0,CalledStrike,-0.09900990099009901
001,2,2,1,Ball,-0.1787709497206704
001,2,2,1,CalledStrike,-0.06451612903225806
001,2,2,2,Ball,-0.1289198606271777
001,2,2,2,CalledStrike,0.0
001,2,3,0,Ball,-0.0425531914893617
001,2,3,0,CalledStrike,-0.11475409836065574
001,2,3,1,Ball,-0.16417910447761194
001,2,3,1,CalledStrike,-0.06
001,2,3,2,Ball,-0.08496732026143791
001,2,3,2,CalledStrike,0.0
010,2,0,0,Ball,-0.07553003533568904
010,2,0,0,CalledStrike,-0.06998654104979811
010,2,0,1,Ball,-0.09090909090909091
010,2,0,1,CalledStrike,-0.09411764705882353
010,2,0,2,Ball,-0.07365439093484419
010,2,0,2,CalledStrike,0.0
010,2,1,0,Ball,-0.07386990077177508
010,2,1,0,CalledStrike,-0.07992895204262877
010,2,1,1,Ball,-0.10154525386313466
010,2,1,1,CalledStrike,-0.08928571428571429
010,2,1,2,Ball,-0.10297029702970296
010,2,1,2,CalledStrike,0.0
010,2,2,0,Ball,-0.02865329512893983
010,2,2,0,CalledStrike,-0.09375
010,2,2,1,Ball,-0.10267857142857142
010,2,2,1,CalledStrike,-0.09815950920245399
010,2,2,2,Ball,-0.1379746835443038
010,2,2,2,CalledStrike,0.0
010,2,3,0,Ball,-0.08450704225352113
010,2,3,0,CalledStrike,-0.08187134502923976
010,2,3,1,Ball,-0.08133971291866028
010,2,3,1,CalledStrike,-0.0948905109489051
010,2,3,2,Ball,-0.09046454767726161
010,2,3,2,CalledStrike,0.0
011,2,0,0,Ball,-0.15985790408525755
011,2,0,0,CalledStrike,-0.17647058823529413
011,2,0,1,Ball,-0.17266187050359713
011,2,0,1,CalledStrike,-0.17857142857142858
011,2,0,2,Ball,-0.15757575757575756
011,2,0,2,CalledStrike,0.0
011,2,1,0,Ball,-0.11312217194570136
011,2,1,0,CalledStrike,-0.24087591240875914
011,2,1,1,Ball,-0.22007722007722008
011,2,1,1,CalledStrike,-0.18181818181818182
011,2,1,2,Ball,-0.22761194029850745
011,2,1,2,CalledStrike,0.0
011,2,2,0,Ball,-0.022988505747126436
011,2,2,0,CalledStrike,-0.2
011,2,2,1,Ball,-0.1774193548387097
011,2,2,1,CalledStrike,-0.2608695652173913
011,2,2,2,Ball,-0.21333333333333335
011,2,2,2,CalledStrike,0.0
011,2,3,0,Ball,-0.21428571428571427
011,2,3,0,CalledStrike,-0.21739130434782608
011,2,3,1,Ball,-0.12307692307692308
011,2,3,1,CalledStrike,-0.28125
011,2,3,2,Ball,-0.09322033898305085
011,2,3,2,CalledStrike,0.0
100,2,0,0,Ball,-0.04091591591591592
100,2,0,0,CalledStrike,-0.03191204076159829
100,2,0,1,Ball,-0.04294944887875333
100,2,0,1,CalledStrike,-0.020527859237536656
100,2,0,2,Ball,-0.03379224030037547
100,2,0,2,CalledStrike,0.0
100,2,1,0,Ball,-0.04424276800907544
100,2,1,0,CalledStrike,-0.02952029520295203
100,2,1,1,Ball,-0.06105006105006105
100,2,1,1,CalledStrike,-0.012750455373406194
100,2,1,2,Ball,-0.04975124378109453
100,2,1,2,CalledStrike,0.0
100,2,2,0,Ball,-0.01037344398340249
100,2,2,0,CalledStrike,-0.05630630630630631
100,2,2,1,Ball,-0.07977991746905089
100,2,2,1,CalledStrike,-0.0176678445229682
